item_idx,assoc_item_idx,rank,support_count,confidence,lift
7147,1357,3,3,0.0811,62.49
7147,1557,4,3,0.0811,54.87
7147,2822,5,3,0.0811,44.99
7147,3078,6,3,0.0811,36.88
7147,2862,7,3,0.0811,35.15
7147,5626,8,3,0.0811,29.6
7147,1389,9,3,0.0811,25.86
7147,5212,10,3,0.0811,21.22
643,5492,1,3,0.0181,83.57
643,5200,2,3,0.0181,83.57
643,563,3,15,0.0904,49.16
643,1027,4,3,0.0181,45.58
643,6749,5,3,0.0181,38.57
643,5486,6,6,0.0361,34.58
643,5868,7,7,0.0422,26.59
643,5446,8,7,0.0422,24.38
643,1184,9,3,0.0181,20.89
643,6686,10,3,0.0181,20.06
7000,3893,1,3,0.0448,54.02
7000,5573,2,3,0.0448,31.06
7000,7145,3,3,0.0448,26.43
7000,563,4,3,0.0448,24.36
7000,5258,5,3,0.0448,22.18
7000,1533,6,7,0.1045,19.86
7000,1845,7,4,0.0597,18.61
7000,289,8,4,0.0597,14.04
7000,643,9,5,0.0746,12.47
7000,5212,10,3,0.0448,11.72
5815,529,1,6,0.1667,22.34
5815,113,2,3,0.0833,16.28
5815,5161,3,9,0.25,10.91
6232,5425,1,26,0.1182,42.04
6232,5962,2,48,0.2182,40.63
6232,6672,3,9,0.0409,40.54
6232,2826,4,11,0.05,21.02
6232,2501,5,7,0.0318,15.22
6232,6311,6,3,0.0136,15.13
6232,5117,7,5,0.0227,8.88
6232,5527,8,3,0.0136,8.6
6232,6022,9,4,0.0182,7.76
6232,4559,10,4,0.0182,3.04
6672,6232,1,9,0.3214,40.54
3861,4871,1,11,0.0728,30.62
3861,1695,2,3,0.0199,15.75
3861,7217,3,5,0.0331,14.82
3861,4657,4,4,0.0265,14.41
3861,5161,5,33,0.2185,9.53
3861,4165,6,3,0.0199,7.76
3861,3392,7,5,0.0331,6.91
3861,5434,8,3,0.0199,6.56
3861,5702,9,3,0.0199,5.15
3861,529,10,5,0.0331,4.44
4326,59,1,11,0.7857,1090.02
4326,3113,2,3,0.2143,424.68
5975,2295,1,6,0.0706,150.66
5975,3606,2,7,0.0824,126.94
5975,1533,3,14,0.1647,31.3
5975,4421,4,4,0.0471,22.13
5975,4546,5,6,0.0706,18.65
5975,5066,6,18,0.2118,12.24
5975,1291,7,4,0.0471,5.4
5975,5988,8,4,0.0471,4.49
5975,4283,9,3,0.0353,3.21
1111,4128,1,4,0.3333,544.04
1111,2834,2,3,0.25,385.36
1111,7084,3,4,0.3333,369.95
1111,2349,4,3,0.25,223.76
4128,5474,1,3,0.1765,544.04
4128,1111,2,4,0.2353,544.04
4128,5773,3,3,0.1765,408.03
4128,5986,4,3,0.1765,376.64
4128,3664,5,3,0.1765,376.64
4128,6890,6,4,0.2353,343.6
4128,2940,7,3,0.1765,326.42
4128,1072,8,3,0.1765,288.02
4128,368,9,3,0.1765,272.02
4128,5315,10,3,0.1765,272.02
